브랜드,제품 이름,차 종류,"맛,향(필터링)",효능(필터링),카페인 여부,1개당 가격,url,재고
보향다원,흑미&뚱딴지,녹차,구수,건강,O,1300,https://bohyang.com/front/php/product.php?product_no=67&NaPm=ct%3Dkvzko84x%7Cci%3Dcheckout%7Ctr%3Dppc%7Ctrx%3D%7Chk%3Dc6ee71298b3f41a291a571300f26f2a61bea5fea,24
보향다원,레몬그라스&진저,녹차,"구수,매운/민트","건강,  추운날",O,1300,https://bohyang.com/front/php/product.php?product_no=67&NaPm=ct%3Dkvzko84x%7Cci%3Dcheckout%7Ctr%3Dppc%7Ctrx%3D%7Chk%3Dc6ee71298b3f41a291a571300f26f2a61bea5fea,26
보향다원,마테&레몬그라스,"홍차,허브차","구수, 허브, 매운/민트",건강,O,1300,https://bohyang.com/front/php/product.php?product_no=67&NaPm=ct%3Dkvzko84x%7Cci%3Dcheckout%7Ctr%3Dppc%7Ctrx%3D%7Chk%3Dc6ee71298b3f41a291a571300f26f2a61bea5fea,27
보향다원,캐모마일&도라지,"홍차,전통차, 허브차","구수,꽃",건강,O,1300,https://bohyang.com/front/php/product.php?product_no=67&NaPm=ct%3Dkvzko84x%7Cci%3Dcheckout%7Ctr%3Dppc%7Ctrx%3D%7Chk%3Dc6ee71298b3f41a291a571300f26f2a61bea5fea,26
보향다원,로즈마리&쑥,"전통차, 허브차","구수,꽃",안정 및 숙면,X,1300,https://bohyang.com/front/php/product.php?product_no=67&NaPm=ct%3Dkvzko84x%7Cci%3Dcheckout%7Ctr%3Dppc%7Ctrx%3D%7Chk%3Dc6ee71298b3f41a291a571300f26f2a61bea5fea,27
보향다원,페퍼민트&레몬그라스,허브차,"허브, 매운/민트",안정 및 숙면,X,1300,https://bohyang.com/front/php/product.php?product_no=67&NaPm=ct%3Dkvzko84x%7Cci%3Dcheckout%7Ctr%3Dppc%7Ctrx%3D%7Chk%3Dc6ee71298b3f41a291a571300f26f2a61bea5fea,25
위아루이,내츄럴 루이보스,허브차,"구수, 허브",다이어트및피부관리,X,1000,https://www.rooi.co.kr/product/natural15,24
위아루이,그린 루이보스,허브차,"구수, 허브",다이어트및피부관리,O,1067,https://www.rooi.co.kr/product/green15,29
프롬해빗,콜라 홍차,홍차,"구수,과일",소화,O,590,https://smartstore.naver.com/fromhabbit/products/5889189777?NaPm=ct%3Dkvzkrmoh%7Cci%3Dcheckout%7Ctr%3Dppc%7Ctrx%3D%7Chk%3D927bd61f5f9f526f830711ff0eb0cc66e9a2aa4b,27
프롬해빗,오렌지 히비스커스,"허브차,과일차",시트러스,기분전환,X,590,https://smartstore.naver.com/fromhabbit/products/5889189777?NaPm=ct%3Dkvzkrmoh%7Cci%3Dcheckout%7Ctr%3Dppc%7Ctrx%3D%7Chk%3D927bd61f5f9f526f830711ff0eb0cc66e9a2aa4b,26
프롬해빗,복숭아 꽃차,꽃차,달콤,안정 및 숙면,X,590,https://smartstore.naver.com/fromhabbit/products/5889189777?NaPm=ct%3Dkvzkrmoh%7Cci%3Dcheckout%7Ctr%3Dppc%7Ctrx%3D%7Chk%3D927bd61f5f9f526f830711ff0eb0cc66e9a2aa4b,27
프롬해빗,비타민 나무베리 루이보스,허브차,"구수,시트러스","소화, 에너지",X,590,https://smartstore.naver.com/fromhabbit/products/5889189777?NaPm=ct%3Dkvzkrmoh%7Cci%3Dcheckout%7Ctr%3Dppc%7Ctrx%3D%7Chk%3D927bd61f5f9f526f830711ff0eb0cc66e9a2aa4b,26
프롬해빗,시나몬 마테,허브차,"달콤, 구수","안정 및 숙면, 소화",O,590,https://smartstore.naver.com/fromhabbit/products/5889189777?NaPm=ct%3Dkvzkrmoh%7Cci%3Dcheckout%7Ctr%3Dppc%7Ctrx%3D%7Chk%3D927bd61f5f9f526f830711ff0eb0cc66e9a2aa4b,30
프롬해빗,"마리골드, 레몬머틀","과일차, 허브차","달콤, 시트러스","기분전환, 안정 및 숙면",X,590,https://smartstore.naver.com/fromhabbit/products/5889189777?NaPm=ct%3Dkvzkrmoh%7Cci%3Dcheckout%7Ctr%3Dppc%7Ctrx%3D%7Chk%3D927bd61f5f9f526f830711ff0eb0cc66e9a2aa4b,24
프롬해빗,"장미,홍차",홍차,"구수,꽃","에너지, 소화",O,590,https://smartstore.naver.com/fromhabbit/products/5889189777?NaPm=ct%3Dkvzkrmoh%7Cci%3Dcheckout%7Ctr%3Dppc%7Ctrx%3D%7Chk%3D927bd61f5f9f526f830711ff0eb0cc66e9a2aa4b,30
프롬해빗,애플 민트,"과일차, 허브차","달콤, 매운/민트, 과일","기분전환, 건강,소화",X,590,https://smartstore.naver.com/fromhabbit/products/5889189777?NaPm=ct%3Dkvzkrmoh%7Cci%3Dcheckout%7Ctr%3Dppc%7Ctrx%3D%7Chk%3D927bd61f5f9f526f830711ff0eb0cc66e9a2aa4b,24
프롬해빗,꽃잎 백차,꽃차,"꽃, 과일",안정 및 숙면 ,O,590,https://smartstore.naver.com/fromhabbit/products/5889189777?NaPm=ct%3Dkvzkrmoh%7Cci%3Dcheckout%7Ctr%3Dppc%7Ctrx%3D%7Chk%3D927bd61f5f9f526f830711ff0eb0cc66e9a2aa4b,26
찰스초이,레몬+오렌지+녹차,"과일차, 녹차","과일, 시트러스, 구수","기분전환,소화",O,1400,https://smartstore.naver.com/charlesplant/products/5542898467?NaPm=ct%3Dkvzksxdd%7Cci%3Dcheckout%7Ctr%3Dppc%7Ctrx%3D%7Chk%3D7a76f85fe2cf3028806f07543e59cbc5f0c429bc,21
찰스초이,레몬+오렌지+호박팥,"과일차, 전통차","과일, 시트러스, 구수","기분전환,다이어트및피부관리",X,1400,https://smartstore.naver.com/charlesplant/products/5542898467?NaPm=ct%3Dkvzksxdd%7Cci%3Dcheckout%7Ctr%3Dppc%7Ctrx%3D%7Chk%3D7a76f85fe2cf3028806f07543e59cbc5f0c429bc,27
찰스초이,레몬+오렌지+루이보스,"과일차, 허브차","과일, 시트러스,허브","기분전환,소화",X,1400,https://smartstore.naver.com/charlesplant/products/5542898467?NaPm=ct%3Dkvzksxdd%7Cci%3Dcheckout%7Ctr%3Dppc%7Ctrx%3D%7Chk%3D7a76f85fe2cf3028806f07543e59cbc5f0c429bc,24
찰스초이,레몬+오렌지+레몬밤,"과일차,허브차","과일, 시트러스,허브",기분전환,X,1400,https://smartstore.naver.com/charlesplant/products/5542898467?NaPm=ct%3Dkvzksxdd%7Cci%3Dcheckout%7Ctr%3Dppc%7Ctrx%3D%7Chk%3D7a76f85fe2cf3028806f07543e59cbc5f0c429bc,25
찰스초이,레몬+오렌지+페퍼민트,"과일차, 모험","과일, 시트러스, 매운/민트","기분전환,소화",X,1400,https://smartstore.naver.com/charlesplant/products/5542898467?NaPm=ct%3Dkvzksxdd%7Cci%3Dcheckout%7Ctr%3Dppc%7Ctrx%3D%7Chk%3D7a76f85fe2cf3028806f07543e59cbc5f0c429bc,25
찰스초이,레몬+오렌지+히비스커스,"과일차, 허브차","과일, 시트러스, 허브","기분전환,에너지",X,1400,https://smartstore.naver.com/charlesplant/products/5542898467?NaPm=ct%3Dkvzksxdd%7Cci%3Dcheckout%7Ctr%3Dppc%7Ctrx%3D%7Chk%3D7a76f85fe2cf3028806f07543e59cbc5f0c429bc,26
찰스초이,레몬+오렌지+자몽,과일차,"과일, 시트러스",기분전환,X,1400,https://smartstore.naver.com/charlesplant/products/5542898467?NaPm=ct%3Dkvzksxdd%7Cci%3Dcheckout%7Ctr%3Dppc%7Ctrx%3D%7Chk%3D7a76f85fe2cf3028806f07543e59cbc5f0c429bc,27
티퍼블릭,비타콜라다,과일차,"과일,달콤","에너지,기분전환",X,1500,https://smartstore.naver.com/teapublic/products/5260445485?NaPm=ct%3Dkvzku4us%7Cci%3Dcheckout%7Ctr%3Dppc%7Ctrx%3D%7Chk%3D60aa5f49d537dd10bf001530d98156c489d11447,25
티퍼블릭,멜로우허브스파이스,"전통차,허브차","매운/민트, 허브","추운날,건강",X,1500,https://smartstore.naver.com/teapublic/products/5260445485?NaPm=ct%3Dkvzku4us%7Cci%3Dcheckout%7Ctr%3Dppc%7Ctrx%3D%7Chk%3D60aa5f49d537dd10bf001530d98156c489d11447,29
티퍼블릭,골든에일아이스,과일차,"과일, 달콤","에너지,기분전환",X,1500,https://smartstore.naver.com/teapublic/products/5260445485?NaPm=ct%3Dkvzku4us%7Cci%3Dcheckout%7Ctr%3Dppc%7Ctrx%3D%7Chk%3D60aa5f49d537dd10bf001530d98156c489d11447,25
티퍼블릭,블랙벨벳바인,과일차,"과일,달콤","에너지,기분전환",X,1500,https://smartstore.naver.com/teapublic/products/5260445485?NaPm=ct%3Dkvzku4us%7Cci%3Dcheckout%7Ctr%3Dppc%7Ctrx%3D%7Chk%3D60aa5f49d537dd10bf001530d98156c489d11447,26
티퍼블릭,시나페어,과일차,"과일,달콤","에너지,기분전환",X,1500,https://smartstore.naver.com/teapublic/products/5260445485?NaPm=ct%3Dkvzku4us%7Cci%3Dcheckout%7Ctr%3Dppc%7Ctrx%3D%7Chk%3D60aa5f49d537dd10bf001530d98156c489d11447,30
