238,"허그미 애플티","티즌","블렌딩 티","달콤, 구수","X","건강, 소화, 추운날",\N,"https://smartstore.naver.com/teason/products/5050499558?NaPm=ct%3Dkvzk0zfn%7Cci%3Dcheckout%7Ctr%3Dppc%7Ctrx%3D%7Chk%3D597d8e3247c756955e34ae72c7ba93ad3c574ba2","1990","25","2021-11-14 21:16:36","2021-11-14 21:16:36"
239,"콤부차(자몽맛)","작심랩","모험","시트러스, 과일","O","건강, 다이어트및피부관리, 소화",\N,"https://m.zaksimlab.com/product/detail2.html?product_no=29#none","794","28","2021-11-14 21:16:36","2021-11-14 21:16:36"
240,"콤부차(레몬맛)","작심랩","모험","시트러스","O","건강, 다이어트및피부관리, 소화",\N,"https://m.zaksimlab.com/product/detail2.html?product_no=29#none","794","28","2021-11-14 21:16:36","2021-11-14 21:16:36"
241,"콤부차(블루베리맛)","작심랩","모험","달콤, 시트러스, 과일","O","건강, 다이어트및피부관리, 소화",\N,"https://m.zaksimlab.com/product/detail2.html?product_no=29#none","794","27","2021-11-14 21:16:36","2021-11-14 21:16:36"
242,"콤부차(복숭아맛)","작심랩","모험","시트러스, 달콤, 과일","O","건강, 다이어트및피부관리, 소화",\N,"https://m.zaksimlab.com/product/detail2.html?product_no=29#none","794","29","2021-11-14 21:16:36","2021-11-14 21:16:36"
243,"콤부차(매실맛)","작심랩","모험","시트러스","O","건강, 다이어트및피부관리, 소화",\N,"https://m.zaksimlab.com/product/detail2.html?product_no=29#none","794","29","2021-11-14 21:16:36","2021-11-14 21:16:36"
244,"푸른밤의정원","투티거스 호랑이 다과점","블렌딩 티","시트러스,허브","O","추운날",\N,"https://smartstore.naver.com/two_teagers/products/5468244056?NaPm=ct%3Dkvzk4tcd%7Cci%3Dcheckout%7Ctr%3Dppc%7Ctrx%3D%7Chk%3D4ffe4139a827c52346522902e0d9770045d553fd","1900","30","2021-11-14 21:16:36","2021-11-14 21:16:36"
245,"딸기정원","투티거스 호랑이 다과점","홍차, 과일차","과일,달콤","O","추운날",\N,"https://smartstore.naver.com/two_teagers/products/5468244056?NaPm=ct%3Dkvzk4tcd%7Cci%3Dcheckout%7Ctr%3Dppc%7Ctrx%3D%7Chk%3D4ffe4139a827c52346522902e0d9770045d553fd","1800","26","2021-11-14 21:16:36","2021-11-14 21:16:36"
246,"레몬녹차","투티거스 호랑이 다과점","녹차","시트러스, 구수","O","소화, 다이어트및피부관리",\N,"https://smartstore.naver.com/two_teagers/products/5468244056?NaPm=ct%3Dkvzk4tcd%7Cci%3Dcheckout%7Ctr%3Dppc%7Ctrx%3D%7Chk%3D4ffe4139a827c52346522902e0d9770045d553fd","1700","31","2021-11-14 21:16:36","2021-11-14 21:16:36"
247,"딸기부케","투티거스 호랑이 다과점","블렌딩 티, 과일차","과일, 달콤","O","추운날, 다이어트및피부관리",\N,"https://smartstore.naver.com/two_teagers/products/5468244056?NaPm=ct%3Dkvzk4tcd%7Cci%3Dcheckout%7Ctr%3Dppc%7Ctrx%3D%7Chk%3D4ffe4139a827c52346522902e0d9770045d553fd","1700","0","2021-11-14 21:16:36","2021-11-14 21:16:36"
248,"비밀의화원","투티거스 호랑이 다과점","블렌딩 티","시트러스, 허브","X","안정 및 숙면, 소화",\N,"https://smartstore.naver.com/two_teagers/products/5468244056?NaPm=ct%3Dkvzk4tcd%7Cci%3Dcheckout%7Ctr%3Dppc%7Ctrx%3D%7Chk%3D4ffe4139a827c52346522902e0d9770045d553fd","1900","23","2021-11-14 21:16:36","2021-11-14 21:16:36"
249,"자스민그린티","투티거스 호랑이 다과점","녹차, 허브차","꽃, 구수","O","건강,소화",\N,"https://smartstore.naver.com/two_teagers/products/5468244056?NaPm=ct%3Dkvzk4tcd%7Cci%3Dcheckout%7Ctr%3Dppc%7Ctrx%3D%7Chk%3D4ffe4139a827c52346522902e0d9770045d553fd","1700","23","2021-11-14 21:16:36","2021-11-14 21:16:36"
250,"로즈민트","투티거스 호랑이 다과점","블렌딩 티, 허브차","매운/민트, 허브","O","기분전환,소화",\N,"https://smartstore.naver.com/two_teagers/products/5468244056?NaPm=ct%3Dkvzk4tcd%7Cci%3Dcheckout%7Ctr%3Dppc%7Ctrx%3D%7Chk%3D4ffe4139a827c52346522902e0d9770045d553fd","1600","26","2021-11-14 21:16:36","2021-11-14 21:16:36"
251,"라벤더민트","투티거스 호랑이 다과점","블렌딩 티, 허브차","매운/민트, 허브","O","기분전환,소화",\N,"https://smartstore.naver.com/two_teagers/products/5468244056?NaPm=ct%3Dkvzk4tcd%7Cci%3Dcheckout%7Ctr%3Dppc%7Ctrx%3D%7Chk%3D4ffe4139a827c52346522902e0d9770045d553fd","1600","26","2021-11-14 21:16:36","2021-11-14 21:16:36"
252,"카모마일","투티거스 호랑이 다과점","꽃차, 허브차","꽃","X","안정 및 숙면, 소화",\N,"https://smartstore.naver.com/two_teagers/products/5468244056?NaPm=ct%3Dkvzk4tcd%7Cci%3Dcheckout%7Ctr%3Dppc%7Ctrx%3D%7Chk%3D4ffe4139a827c52346522902e0d9770045d553fd","1300","22","2021-11-14 21:16:36","2021-11-14 21:16:36"
253,"레몬부케","투티거스 호랑이 다과점","블렌딩 티","꽃","O","다이어트및피부관리",\N,"https://smartstore.naver.com/two_teagers/products/5468244056?NaPm=ct%3Dkvzk4tcd%7Cci%3Dcheckout%7Ctr%3Dppc%7Ctrx%3D%7Chk%3D4ffe4139a827c52346522902e0d9770045d553fd","1600","30","2021-11-14 21:16:36","2021-11-14 21:16:36"
254,"제주유기농녹차","투티거스 호랑이 다과점","녹차","구수","O","건강",\N,"https://smartstore.naver.com/two_teagers/products/5468244056?NaPm=ct%3Dkvzk4tcd%7Cci%3Dcheckout%7Ctr%3Dppc%7Ctrx%3D%7Chk%3D4ffe4139a827c52346522902e0d9770045d553fd","1700","28","2021-11-14 21:16:36","2021-11-14 21:16:36"
255,"시트러스 러브","큐앤리브리즈","블렌딩 티","시트러스","X","기분전환",\N,"https://kewandleaves.com/product/no612%EC%8B%9C%ED%8A%B8%EB%9F%AC%EC%8A%A4-%EB%9F%AC%EB%B8%8C-%ED%8B%B0%EB%B0%B1-%ED%8C%8C%EC%9A%B0%EC%B9%98-25g-x-10%EA%B0%9C%EC%9E%85/177/category/52/display/1/","1500","28","2021-11-14 21:16:36","2021-11-14 21:16:36"
256,"레모니 우롱","큐앤리브리즈","과일차","시트러스","O","다이어트및피부관리",\N,"https://kewandleaves.com/product/no741-%EB%A0%88%EB%AA%A8%EB%8B%88-%EC%9A%B0%EB%A1%B1-%ED%8B%B0%EB%B0%B1-%ED%8C%8C%EC%9A%B0%EC%B9%98-25g-x-10%EA%B0%9C%EC%9E%85/181/category/52/display/1/","1500","27","2021-11-14 21:16:36","2021-11-14 21:16:36"
257,"블랙유주","큐앤리브리즈","블렌딩 티","달콤,꽃","O","기분전환",\N,"https://kewandleaves.com/product/no113-%EB%B8%94%EB%9E%99-%EC%9C%A0%EC%A3%BC-%ED%8B%B0%EB%B0%B1-%ED%8C%8C%EC%9A%B0%EC%B9%98-25g-x-10%EA%B0%9C%EC%9E%85/179/category/52/display/1/","1500","30","2021-11-14 21:16:36","2021-11-14 21:16:36"
258,"플라워가든","큐앤리브리즈","블렌딩 티","과일","O","기분전환",\N,"https://kewandleaves.com/product/no163-%ED%94%8C%EB%9D%BC%EC%9B%8C-%EA%B0%80%EB%93%A0-%ED%8B%B0%EB%B0%B1-%ED%8C%8C%EC%9A%B0%EC%B9%98-25g-x-10%EA%B0%9C%EC%9E%85/178/category/52/display/1/","1500","29","2021-11-14 21:16:36","2021-11-14 21:16:36"
259,"서울 브랙퍼스트","큐앤리브리즈","홍차","구수","O","추운날",\N,"https://kewandleaves.com/product/no168-%EC%84%9C%EC%9A%B8-%EB%B8%8C%EB%A0%89%ED%8D%BC%EC%8A%A4%ED%8A%B8-%ED%8B%B0%EB%B0%B1-%ED%8C%8C%EC%9A%B0%EC%B9%98-25g-x-10%EA%B0%9C%EC%9E%85/182/category/52/display/1/","1500","24","2021-11-14 21:16:36","2021-11-14 21:16:36"
260,"카라멜 티메리카노","큐앤리브리즈","홍차","구수","O","추운날",\N,"https://kewandleaves.com/product/no341-%EC%B9%B4%EB%9D%BC%EB%A9%9C-%ED%8B%B0%EB%A9%94%EB%A6%AC%EC%B9%B4%EB%85%B8-%ED%8B%B0%EB%B0%B1-%ED%8C%8C%EC%9A%B0%EC%B9%98-25g-x-10%EA%B0%9C%EC%9E%85/180/category/52/display/1/","1500","28","2021-11-14 21:16:36","2021-11-14 21:16:36"
261,"레몬레몬+우엉","안녕에덴","과일차, 전통차","시트러스, 구수","X","에너지",\N,"https://smartstore.naver.com/hello_eden/products/2536564211","1583","25","2021-11-14 21:16:36","2021-11-14 21:16:36"
262,"오렌지+국화","안녕에덴","과일차, 꽃차","시트러스,꽃","X","소화",\N,"https://smartstore.naver.com/hello_eden/products/2536564211","1583","26","2021-11-14 21:16:36","2021-11-14 21:16:36"
263,"레몬+오렌지+비트","안녕에덴","과일차, 전통차","시트러스","X","에너지",\N,"https://smartstore.naver.com/hello_eden/products/2536564211","1583","27","2021-11-14 21:16:36","2021-11-14 21:16:36"
264,"자몽+비트+히비스커스","안녕에덴","과일차","시트러스","X","다이어트및피부관리",\N,"https://smartstore.naver.com/hello_eden/products/2536564211","1583","25","2021-11-14 21:16:36","2021-11-14 21:16:36"
265,"다하다 호박팥차","다하다","전통차","구수","X","건강",\N,"https://smartstore.naver.com/herbnt/products/5663868831?NaPm=ct%3Dkvzkcq25%7Cci%3Dcheckout%7Ctr%3Dppc%7Ctrx%3D%7Chk%3De3bd22799a5580b7d9c9c2ca1dfe1bb066db33f6","145","23","2021-11-14 21:16:36","2021-11-14 21:16:36"
266,"다하다 늙은호박차","다하다","전통차","구수","X","건강",\N,"https://smartstore.naver.com/herbnt/products/5663902423?NaPm=ct%3Dkvzkcz1x%7Cci%3Dcheckout%7Ctr%3Dppc%7Ctrx%3D%7Chk%3Db508c6f85e02c52b919074bcaead95ba70d8f629","140","22","2021-11-14 21:16:36","2021-11-14 21:16:36"
267,"다하다 스윗유자","다하다","전통차","시트러스","X","건강, 추운날",\N,"https://smartstore.naver.com/herbnt/products/5663922503?NaPm=ct%3Dkvzkd8vc%7Cci%3Dcheckout%7Ctr%3Dppc%7Ctrx%3D%7Chk%3D775487378f6b2f5771bb2b56b0fec4c46f730160","155","30","2021-11-14 21:16:36","2021-11-14 21:16:36"
268,"스테비아차","다하다","허브차","달콤, 허브","X","다이어트및피부관리",\N,"https://smartstore.naver.com/herbnt/products/5098345265?NaPm=ct%3Dkvzkdi0l%7Cci%3Dcheckout%7Ctr%3Dppc%7Ctrx%3D%7Chk%3D2ff7768c574f8cdc225bd3beaf0c85b198ddb8bb","200","25","2021-11-14 21:16:36","2021-11-14 21:16:36"
269,"히비스커스","다하다","허브차,꽃차","달콤, 꽃","X","다이어트및피부관리",\N,"https://smartstore.naver.com/herbnt/products/5663949055?NaPm=ct%3Dkvzkdq7u%7Cci%3Dcheckout%7Ctr%3Dppc%7Ctrx%3D%7Chk%3Dd06b4b71f2bdd9ffe477ebaf02eeafa0dbb87819","145","0","2021-11-14 21:16:36","2021-11-14 21:16:36"
270,"레몬 콤부차","다하다","모험","달콤, 시트러스","O","에너지",\N,"https://smartstore.naver.com/herbnt/products/5861270364?NaPm=ct%3Dkvzkdvm3%7Cci%3Dcheckout%7Ctr%3Dppc%7Ctrx%3D%7Chk%3D34f9abe96714dee6d3bc455873498c266bc6c2f7","165","36","2021-11-14 21:16:36","2021-11-14 21:16:36"
271,"청모차","8lab","블렌딩 티, 전통차","구수","X","건강",\N,"https://www.8lab.co.kr/teafresh/?idx=27","1334","29","2021-11-14 21:16:36","2021-11-14 21:16:36"
272,"청쑥차","8lab","블렌딩 티, 전통차","구수","X","건강, 다이어트및피부관리",\N,"https://www.8lab.co.kr/teafresh/?idx=16","1200","29","2021-11-14 21:16:36","2021-11-14 21:16:36"
273,"청폐차","8lab","블렌딩 티, 전통차","구수","X","건강, 추운날",\N,"https://www.8lab.co.kr/teafresh/?idx=15","1200","30","2021-11-14 21:16:36","2021-11-14 21:16:36"
274,"청해차","8lab","블렌딩 티, 전통차","구수","X","건강, 다이어트및피부관리",\N,"https://www.8lab.co.kr/teafresh/?idx=14","1200","28","2021-11-14 21:16:36","2021-11-14 21:16:36"
275,"붓티","8lab","블렌딩 티, 전통차","구수","X","건강, 다이어트및피부관리",\N,"https://www.8lab.co.kr/teafresh/?idx=13","1200","28","2021-11-14 21:16:36","2021-11-14 21:16:36"
276,"설기차","치유의숲 설약산","전통차","구수","X","건강, 소화, 안정 및 숙면",\N,"https://smartstore.naver.com/seolyaksan/products/4081199346","1000","27","2021-11-14 21:16:36","2021-11-14 21:16:36"
